group,relative_path,size_bytes,modified_time
docs,docs/random6_behavior_aug_v1_report.md,1834,2026-04-21T09:32:26
docs,docs/random6_mainline_v2_report.md,4425,2026-04-20T22:20:08
docs,docs/random6_mainline_v3_report.md,1818,2026-04-20T23:23:12
docs,docs/random6_mainline_vs_behavior_aug_v1.md,813,2026-04-21T09:34:05
docs,docs/random6_mainline_vs_behavior_aug_v1_decision.md,3154,2026-04-21T09:35:36
docs,docs/random6_pipeline_run_report.md,7685,2026-04-20T19:20:17
docs,docs/random6_trackfix_comparison_report.md,2533,2026-04-20T19:21:49
docs,docs/random6_yolo11x_object_comparison_report.md,3865,2026-04-20T20:23:42
docs,docs/random6_yolo11x_object_run_report.md,2856,2026-04-20T20:22:02
docs,docs/real_bridge_json_repair_report.md,2010,2026-04-16T20:42:14
docs,docs/real_bridge_validation_report.md,1502,2026-04-21T12:45:47
docs,docs/real_data_paper_bridge_plan.md,6447,2026-04-16T21:29:34
docs,docs/real_exp_a_uq_alignment_20260421_yolo11x_report.md,1462,2026-04-21T13:08:06
docs,docs/real_exp_b_reliability_calibration_20260421_yolo11x_report.md,1484,2026-04-21T13:10:48
docs,docs/real_pilot_run_report.md,2658,2026-04-16T21:34:34
docs,docs/recording_script.md,1599,2026-04-15T11:58:47
docs,docs/smart_classroom_data_code_audit_report.md,24570,2026-04-16T19:12:11
docs,docs/代码背景报告_双重验证框架.md,9675,2026-04-08T14:43:19
output/paper_experiments,output/paper_experiments/baseline/actions.from_align.sample.jsonl,420,2026-04-15T10:45:58
output/paper_experiments,output/paper_experiments/baseline/align_multimodal.json,1876,2026-04-15T10:45:58
output/paper_experiments,output/paper_experiments/baseline/artifacts_manifest.json,4483,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/baseline/asr_stub.from_event_queries.sample.jsonl,236,2026-04-15T10:45:58
output/paper_experiments,output/paper_experiments/baseline/metrics.json,2622,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/baseline/per_person_sequences.json,4570,2026-04-15T10:46:01
output/paper_experiments,output/paper_experiments/baseline/run_config.json,2453,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/baseline/summary.md,1510,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/baseline/verified_events.jsonl,1562,2026-04-15T10:46:01
output/paper_experiments,output/paper_experiments/baseline/verifier_calibration_report.json,5595,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/baseline/verifier_eval_report.json,7625,2026-04-15T10:46:03
output/paper_experiments,output/paper_experiments/baseline/verifier_reliability_diagram.svg,5167,2026-04-15T10:46:06
output/paper_experiments,output/paper_experiments/exp_a_uq_align/actions.from_align.sample.jsonl,420,2026-04-15T10:52:13
output/paper_experiments,output/paper_experiments/exp_a_uq_align/alignment_noise_curve.csv,546,2026-04-15T10:52:16
output/paper_experiments,output/paper_experiments/exp_a_uq_align/alignment_sensitivity.csv,819,2026-04-15T10:52:16
output/paper_experiments,output/paper_experiments/exp_a_uq_align/handoff_summary.json,4934,2026-04-16T09:14:16
output/paper_experiments,output/paper_experiments/exp_a_uq_align/metrics.json,2826,2026-04-15T10:52:16
output/paper_experiments,output/paper_experiments/exp_a_uq_align/summary.md,1790,2026-04-15T10:52:16
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/align_multimodal.json,2440,2026-04-15T11:03:20
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/artifacts_manifest.json,5147,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/calibration_report.json,5604,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/handoff_summary.json,3751,2026-04-16T09:29:11
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/metrics.json,1946,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/per_person_sequences.json,7319,2026-04-15T11:03:22
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/reliability_after.svg,2904,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/reliability_before.svg,3014,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/reliability_bins.csv,726,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/reliability_metrics_raw.json,2313,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/run_config.json,1558,2026-04-15T11:03:20
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/summary.md,1503,2026-04-15T11:03:25
output/paper_experiments,output/paper_experiments/exp_b_reliability_calibration/verified_events.jsonl,3192,2026-04-15T11:03:22
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/align_multimodal.json,2440,2026-04-15T11:21:59
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/artifacts_manifest.json,5001,2026-04-15T11:22:20
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/eval_report_both.json,1384,2026-04-15T11:22:20
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/eval_report_positive_only.json,1329,2026-04-15T11:22:06
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/eval_report_semantic_mismatch.json,1395,2026-04-15T11:22:15
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/eval_report_temporal_shift.json,1389,2026-04-15T11:22:11
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/handoff_summary.json,3659,2026-04-16T09:26:23
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/metrics_compare.csv,424,2026-04-15T11:22:20
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/run_config.json,1012,2026-04-15T11:21:59
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/summary.md,751,2026-04-15T11:22:20
output/paper_experiments,output/paper_experiments/exp_c_negative_sampling/train_samples.jsonl,2239,2026-04-15T11:22:02
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/align_multimodal.json,2440,2026-04-15T11:36:07
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/artifacts_manifest.json,3699,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/handoff_summary.json,3520,2026-04-16T09:32:56
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/metrics.json,1926,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/run_config.json,1167,2026-04-15T11:36:07
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/semantic_error_cases.jsonl,1025,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/summary.md,627,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/text_score_compare.csv,202,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/verified_embedding.jsonl,2955,2026-04-15T11:36:12
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/verified_hybrid.jsonl,2960,2026-04-15T11:36:14
output/paper_experiments,output/paper_experiments/exp_d_semantic_embedding/verified_rule.jsonl,2882,2026-04-15T11:36:09
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/align_multimodal.json,2226,2026-04-15T10:36:45
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/artifacts_manifest.json,4162,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/handoff_summary.json,3589,2026-04-16T09:44:00
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/metrics.json,771,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/per_person_sequences.json,4828,2026-04-15T10:36:50
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/run_config.json,1452,2026-04-15T10:36:45
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/summary.md,599,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/verified_events.jsonl,1571,2026-04-15T10:36:50
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/verifier_calibration_report.json,5581,2026-04-15T10:36:56
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/verifier_eval_report.json,7091,2026-04-15T10:36:53
output/paper_experiments,output/paper_experiments/exp_dual_verifier_reliability/verifier_reliability_diagram.svg,5168,2026-04-15T10:36:56
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/actions_fused.jsonl,1659,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/ambiguity_pairs_report.csv,138,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/artifacts_manifest.json,3389,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/flip_cases.jsonl,220,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/handoff_summary.json,3176,2026-04-16T10:08:34
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/metrics.json,1523,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/run_config.json,1013,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_e_object_evidence/summary.md,957,2026-04-15T11:46:37
output/paper_experiments,output/paper_experiments/exp_f_pages_demo/handoff_summary.json,2544,2026-04-16T10:17:50
output/paper_experiments,output/paper_experiments/exp_object_action_fusion/actions_fused.jsonl,1659,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_object_action_fusion/artifacts_manifest.json,2164,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_object_action_fusion/metrics.json,740,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_object_action_fusion/run_config.json,930,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_object_action_fusion/summary.md,588,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_uq_adaptive_alignment/align_multimodal.json,2226,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_uq_adaptive_alignment/artifacts_manifest.json,2461,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_uq_adaptive_alignment/metrics.json,727,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_uq_adaptive_alignment/run_config.json,1098,2026-04-15T10:36:57
output/paper_experiments,output/paper_experiments/exp_uq_adaptive_alignment/summary.md,576,2026-04-15T10:36:57
paper_experiments/gold,paper_experiments/gold/annotation_workbench/tasks.csv,22707,2026-04-21T20:11:57
paper_experiments/gold,paper_experiments/gold/annotation_workbench_wave1/tasks.csv,41657,2026-04-21T21:02:46
paper_experiments/gold,paper_experiments/gold/annotation_workbench_wave2/tasks.csv,11997,2026-04-21T21:18:06
paper_experiments/gold,paper_experiments/gold/annotation_workbench_wave3/tasks.csv,3626,2026-04-21T21:38:57
paper_experiments/gold,paper_experiments/gold/gold_events.real.jsonl,13457,2026-04-21T20:12:10
paper_experiments/gold,paper_experiments/gold/gold_events.real.schema.json,2896,2026-04-16T21:46:21
paper_experiments/gold,paper_experiments/gold/gold_validation_report.json,2822,2026-04-21T20:12:10
paper_experiments/gold,paper_experiments/gold/splits.real.json,1334,2026-04-21T12:07:25
paper_experiments/real_cases,paper_experiments/real_cases/branch_useful_outputs_summary.csv,8549,2026-04-21T21:56:35
paper_experiments/real_cases,paper_experiments/real_cases/bridge_validation.json,717,2026-04-21T12:45:47
paper_experiments/real_cases,paper_experiments/real_cases/case_inventory.csv,3309,2026-04-16T19:52:34
paper_experiments/real_cases,paper_experiments/real_cases/index.json,13709,2026-04-16T19:52:34
paper_experiments/real_cases,paper_experiments/real_cases/mainline_branch_experiment_matrix.csv,3791,2026-04-21T21:56:35
paper_experiments/real_cases,paper_experiments/real_cases/pilot_artifact_check.csv,2866,2026-04-16T21:33:04
paper_experiments/real_cases,paper_experiments/real_cases/pilot_cases.json,3115,2026-04-16T20:05:40
paper_experiments/real_cases,paper_experiments/real_cases/pilot_cases_batch2.proposed.json,9353,2026-04-21T20:22:35
paper_experiments/real_cases,paper_experiments/real_cases/pilot_run_status.json,944,2026-04-16T20:11:06
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_behavior_aug_v1_case_metrics.csv,7499,2026-04-21T09:32:26
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_behavior_aug_v1_case_metrics.json,36875,2026-04-21T09:32:26
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_behavior_aug_v1_summary.json,39907,2026-04-21T09:32:26
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_mainline_v3_case_metrics.csv,6831,2026-04-20T23:23:12
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_mainline_v3_case_metrics.json,36087,2026-04-20T23:23:12
paper_experiments/real_cases,paper_experiments/real_cases/random6_20260420_mainline_v3_summary.json,39103,2026-04-20T23:23:12
paper_experiments/real_cases,paper_experiments/real_cases/random6_cases_20260420.json,12579,2026-04-20T17:36:23
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_a_uq_alignment_20260421_yolo11x_case_metrics.csv,4225,2026-04-21T13:08:06
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_a_uq_alignment_20260421_yolo11x_case_metrics.json,23823,2026-04-21T13:08:05
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_a_uq_alignment_20260421_yolo11x_summary.json,26126,2026-04-21T13:08:05
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_b_reliability_calibration_20260421_yolo11x_case_metrics.csv,4210,2026-04-21T13:10:48
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_b_reliability_calibration_20260421_yolo11x_case_metrics.json,24028,2026-04-21T13:10:48
paper_experiments/real_cases,paper_experiments/real_cases/real_exp_b_reliability_calibration_20260421_yolo11x_summary.json,26353,2026-04-21T13:10:48
paper_experiments/real_cases,paper_experiments/real_cases/real_pilot_case_output_coverage.csv,2467,2026-04-21T21:56:35
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_medium_cpu.csv,7127,2026-04-20T21:04:34
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_medium_cpu.json,17219,2026-04-20T21:04:34
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cpu.csv,7015,2026-04-20T20:51:27
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cpu.json,17105,2026-04-20T20:51:27
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda.csv,6661,2026-04-20T20:55:09
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda.json,16750,2026-04-20T20:55:09
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover.csv,9426,2026-04-20T21:44:26
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover.json,22831,2026-04-20T21:44:26
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry.csv,7451,2026-04-20T21:21:24
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry.json,17549,2026-04-20T21:21:24
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_failed2.csv,676,2026-04-20T21:21:54
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_failed2.json,1674,2026-04-20T21:21:54
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2.csv,1305,2026-04-20T21:40:02
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry_recover2.json,2466,2026-04-20T21:40:02
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_smoke_20260420_asr.csv,594,2026-04-20T20:35:43
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_smoke_20260420_asr.json,1716,2026-04-20T20:35:43
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_smoke_20260420_asr_front.csv,398,2026-04-20T20:36:29
paper_experiments/run_logs,paper_experiments/run_logs/asr_ablation_smoke_20260420_asr_front.json,1066,2026-04-20T20:36:29
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_batch_summary.json,14723,2026-04-20T17:55:53
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_case_metrics.csv,5472,2026-04-20T17:57:03
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_case_metrics.json,45118,2026-04-20T17:57:03
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_mainline_v2_case_metrics.csv,7124,2026-04-20T22:20:08
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_mainline_v2_case_metrics.json,36380,2026-04-20T22:20:08
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_mainline_v2_summary.json,39381,2026-04-20T22:20:08
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_trackfix_comparison.csv,1774,2026-04-20T19:19:39
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_trackfix_comparison.json,9446,2026-04-20T19:19:39
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_trackfix_summary.json,3480,2026-04-20T19:18:30
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_yolo11x_object_case_metrics.csv,6149,2026-04-20T20:22:02
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_yolo11x_object_case_metrics.json,32711,2026-04-20T20:22:02
paper_experiments/run_logs,paper_experiments/run_logs/random6_20260420_yolo11x_object_summary.json,13998,2026-04-20T20:21:59
